# Train        Test        
    0.287496     0.385432 
    0.418891     0.426911 
    0.502363     0.547741 
    0.541612     0.556257 
    0.543486     0.568380 
    0.559704     0.551047 
    0.574638     0.599639 
    0.578386     0.584310 
    0.580060     0.584711 
    0.578197     0.613566 
    0.586059     0.578199 
    0.579765     0.584010 
    0.577337     0.600140 
    0.587238     0.585713 
    0.590043     0.597636 
    0.596997     0.612664 
    0.591870     0.608356 
    0.586589     0.599840 
    0.589583     0.610660 
    0.596832     0.603647 
    0.595512     0.583509 
    0.597798     0.591023 
    0.598340     0.612063 
    0.600509     0.618575 
    0.600474     0.608757 
    0.603468     0.616672 
    0.601853     0.583408 
    0.608618     0.625288 
    0.612944     0.620880 
    0.602100     0.601643 
    0.611341     0.613666 
    0.611435     0.616672 
    0.612897     0.603747 
    0.618790     0.619577 
    0.618236     0.622182 
    0.617246     0.621280 
    0.615784     0.626490 
    0.616798     0.615770 
    0.620393     0.625188 
    0.619945     0.624386 
    0.621902     0.629897 
    0.617128     0.618275 
    0.619980     0.613766 
    0.615313     0.618074 
    0.618896     0.628895 
    0.618460     0.622182 
    0.617458     0.635507 
    0.619544     0.623885 
    0.623021     0.622783 
    0.623092     0.633704 
    0.626098     0.627693 
    0.621619     0.623885 
    0.622361     0.568079 
    0.620841     0.630799 
    0.623540     0.625889 
    0.621218     0.625488 
    0.617458     0.630298 
    0.621737     0.630899 
    0.618637     0.623585 
    0.618366     0.608857 
    0.616444     0.611261 
    0.617163     0.621681 
    0.623705     0.624487 
    0.620098     0.611061 
    0.619580     0.614968 
    0.621666     0.618876 
    0.621147     0.633504 
    0.623729     0.620679 
    0.626121     0.616672 
    0.627512     0.620078 
    0.623693     0.627893 
    0.624636     0.629195 
    0.625143     0.621781 
    0.624624     0.610360 
    0.616586     0.621681 
    0.615054     0.615369 
    0.621737     0.634405 
    0.617364     0.604749 
    0.619698     0.618776 
    0.621772     0.629696 
    0.619485     0.626591 
    0.621513     0.625689 
    0.622444     0.631700 
    0.623552     0.623084 
    0.625343     0.628093 
    0.624778     0.629797 
    0.621807     0.609759 
    0.622526     0.622483 
    0.622031     0.623585 
    0.621088     0.627392 
    0.623811     0.625689 
    0.624165     0.624887 
    0.624966     0.624086 
    0.625803     0.625589 
    0.627948     0.628795 
    0.627948     0.618876 
    0.628007     0.622483 
    0.625921     0.626390 
    0.628160     0.629496 
    0.626392     0.617774 
    0.630176     0.638714 
    0.631955     0.624887 
    0.629716     0.618074 
    0.630093     0.633704 
    0.629374     0.633303 
    0.631178     0.628294 
    0.632191     0.632001 
    0.631225     0.643423 
    0.635550     0.634205 
    0.635244     0.621280 
    0.631814     0.630799 
    0.633488     0.629396 
    0.632050     0.623284 
    0.632403     0.632301 
    0.631614     0.623184 
    0.631625     0.624386 
    0.634065     0.631099 
    0.633511     0.627392 
    0.633205     0.628895 
    0.629657     0.629596 
    0.632003     0.634205 
    0.633865     0.636710 
    0.634230     0.622883 
    0.632533     0.618776 
    0.631991     0.630197 
    0.635421     0.628995 
    0.632439     0.627793 
    0.634289     0.613365 
    0.635267     0.620579 
    0.631897     0.627192 
    0.630305     0.625188 
    0.630270     0.624887 
    0.629869     0.627292 
    0.630671     0.612564 
    0.633311     0.615770 
    0.632321     0.624186 
    0.631885     0.623685 
    0.629940     0.630598 
    0.628667     0.638714 
    0.628196     0.623785 
    0.630565     0.621781 
    0.631708     0.634205 
    0.631661     0.630498 
    0.633535     0.633203 
    0.629445     0.633103 
    0.631260     0.634806 
    0.633853     0.626290 
    0.631272     0.624086 
    0.632191     0.634506 
    0.632851     0.629296 
    0.628679     0.614267 
    0.627394     0.620379 
    0.628325     0.627993 
    0.629209     0.637912 
    0.629987     0.633504 
    0.632851     0.625488 
    0.631130     0.631500 
    0.634914     0.631400 
    0.633995     0.637912 
    0.633393     0.640317 
    0.633547     0.627993 
    0.634030     0.637912 
    0.633488     0.634005 
    0.632486     0.627492 
    0.634195     0.631199 
    0.634902     0.638313 
    0.636540     0.625388 
    0.636175     0.629596 
    0.635821     0.631700 
    0.632875     0.617674 
    0.631814     0.631700 
    0.634301     0.614868 
    0.633488     0.632903 
    0.633806     0.633604 
    0.633841     0.628394 
    0.632227     0.634506 
    0.634820     0.627091 
    0.634490     0.636810 
    0.633075     0.629296 
    0.635303     0.625789 
    0.635786     0.629496 
    0.632227     0.627592 
    0.637978     0.635107 
    0.634702     0.629296 
    0.635244     0.638714 
    0.633688     0.639816 
    0.630753     0.623986 
    0.633723     0.632903 
    0.631107     0.609157 
    0.631472     0.626090 
    0.629881     0.622883 
    0.628903     0.615870 
    0.626911     0.615069 
    0.626923     0.608556 
    0.628255     0.621781 
    0.627206     0.616571 
    0.627217     0.603146 
    0.623493     0.622383 
    0.627724     0.623685 
    0.628561     0.610159 
