# Train        Test        
    0.241910    11.484480 
    0.211154    10.505827 
    0.190806     9.063890 
    0.181474     8.942082 
    0.178648     8.820562 
    0.174489     8.945748 
    0.170061     8.379440 
    0.171015     9.562066 
    0.169990     8.689448 
    0.169128     7.968453 
    0.167352     8.397672 
    0.169114     8.596636 
    0.170143     8.231975 
    0.166967     9.046678 
    0.169014     8.455302 
    0.166281     8.209821 
    0.168229     8.671110 
    0.170167     8.389505 
    0.167530     8.082200 
    0.166458     8.367749 
    0.165505     8.625589 
    0.165459     8.418778 
    0.164614     8.245725 
    0.163772     8.053630 
    0.164287     8.416136 
    0.163338     8.038372 
    0.166431     9.668299 
    0.160184     8.186220 
    0.161136     7.902752 
    0.163046     8.318740 
    0.159596     8.096245 
    0.160945     8.487480 
    0.158460     8.071719 
    0.159368     8.375711 
    0.158604     8.011869 
    0.158963     8.425899 
    0.159275     7.909002 
    0.158626     8.056411 
    0.157772     7.976547 
    0.158430     8.209016 
    0.158708     8.662809 
    0.158466     8.335108 
    0.158980     8.205036 
    0.159674     8.552865 
    0.159380     7.907700 
    0.157904     8.092276 
    0.158079     8.092094 
    0.159128     8.052814 
    0.156952     8.596554 
    0.157961     8.030766 
    0.156528     7.958679 
    0.157799     7.963036 
    0.157200     8.763813 
    0.158238     8.048857 
    0.157095     7.934415 
    0.157894     7.907080 
    0.158737     7.861615 
    0.157549     8.077732 
    0.159235     8.033928 
    0.159744     8.442881 
    0.160294     8.081216 
    0.159437     7.767785 
    0.156998     8.123998 
    0.158923     8.001436 
    0.158157     8.268232 
    0.156557    10.549195 
    0.157750     8.197278 
    0.157356     7.931298 
    0.155832     8.473118 
    0.156969     7.949069 
    0.157192     7.974941 
    0.156838     7.819455 
    0.155709     7.780054 
    0.156000     8.328063 
    0.161098     8.352438 
    0.158929     7.933531 
    0.156812     7.696719 
    0.163591     8.280198 
    0.157650     8.019705 
    0.156902     7.970215 
    0.156700     7.853915 
    0.156461     7.909750 
    0.156179     8.229952 
    0.156553     8.295698 
    0.155747     8.883084 
    0.155611     7.908443 
    0.156287     8.016599 
    0.155958     7.999419 
    0.156047     7.932613 
    0.155743     8.022206 
    0.155916     7.915244 
    0.155810     7.832134 
    0.155107     8.561252 
    0.154919     7.818301 
    0.155456     7.906706 
    0.155416     7.976870 
    0.155276     8.055388 
    0.154712     7.992060 
    0.154718     7.868983 
    0.155664     8.131972 
    0.155542     7.808463 
    0.154904     8.072866 
    0.155833     7.848861 
    0.155554     8.142599 
    0.154597     7.730107 
    0.154461     7.898736 
    0.154632     7.892184 
    0.154471     7.669925 
    0.153674     8.205987 
    0.154213     8.311055 
    0.153343     7.737932 
    0.152597     8.250911 
    0.153672     7.691534 
    0.153754     7.722839 
    0.153517     7.756419 
    0.154808     8.017207 
    0.153909     7.832097 
    0.153533     7.950241 
    0.152794     7.730746 
    0.156546     7.951748 
    0.153481     7.794412 
    0.153194     8.231117 
    0.152543     7.986574 
    0.154168     7.967794 
    0.153404     7.852564 
    0.153209     7.889295 
    0.153651     7.847276 
    0.153034     8.159439 
    0.151725     8.138497 
    0.154091     7.636215 
    0.154061     7.929765 
    0.155555     8.762484 
    0.153343     7.725195 
    0.152346     8.065742 
    0.151969     7.695634 
    0.152221     7.728063 
    0.153165     7.858612 
    0.152863     7.608106 
    0.153842     7.554713 
    0.153892     7.747660 
    0.152050     7.854235 
    0.151729     7.725729 
    0.151276     7.681827 
    0.151133     7.850077 
    0.152559     7.744619 
    0.152253     7.686391 
    0.152412     7.890946 
    0.153205     8.357371 
    0.151718     7.745794 
    0.151991     7.742931 
    0.155089     9.222392 
    0.155831     8.238738 
    0.153201     7.904957 
    0.153848     7.838712 
    0.152034     8.111993 
    0.153787    10.698589 
    0.152942     7.685779 
    0.152195     7.548959 
    0.151761     7.660333 
    0.152139     7.557750 
    0.151507     8.020797 
    0.151882     7.843619 
    0.152095     7.793444 
    0.152844     7.770093 
    0.152156     7.648303 
    0.152033     7.826010 
    0.151559     7.734172 
    0.151801     8.400243 
    0.150964     7.784073 
    0.151468     7.828895 
    0.152166     8.486202 
    0.151627     8.379116 
    0.151951     7.757022 
    0.152331     8.061938 
    0.152417     8.117974 
    0.153078     7.844600 
    0.151409     7.676314 
    0.152370     7.695774 
    0.153262     7.549115 
    0.151303     7.770428 
    0.151438     7.657107 
    0.151911     7.918848 
    0.151088     8.014123 
    0.151520     8.003380 
    0.151679     7.640045 
    0.151925     7.500481 
    0.152374     8.693139 
    0.151940     7.808498 
    0.152230     8.077023 
    0.152946     7.886858 
    0.153165     7.796110 
    0.153433     8.228527 
    0.154979     8.287811 
    0.157259     7.953262 
    0.154893     7.725786 
    0.153818     7.842639 
    0.153619     8.643406 
    0.154167     7.859709 
    0.154752     7.944036 
    0.153749     8.067599 
