# Train        Test        
    0.352887     0.492836 
    0.578787     0.646929 
    0.647844     0.675984 
    0.688460     0.714658 
    0.713824     0.732091 
    0.726259     0.733995 
    0.741228     0.735898 
    0.749420     0.764553 
    0.756138     0.771967 
    0.761595     0.775373 
    0.764129     0.780483 
    0.772038     0.777778 
    0.773358     0.783489 
    0.777542     0.783789 
    0.782080     0.792305 
    0.785651     0.787596 
    0.786724     0.790502 
    0.789494     0.786995 
    0.792652     0.795211 
    0.794962     0.792406 
    0.794515     0.790402 
    0.796872     0.790803 
    0.798876     0.799920 
    0.800985     0.796113 
    0.801480     0.805130 
    0.805606     0.799619 
    0.806289     0.795812 
    0.806289     0.792506 
    0.806478     0.794510 
    0.806089     0.797816 
    0.807963     0.801823 
    0.809424     0.800521 
    0.813031     0.799619 
    0.813255     0.800521 
    0.813939     0.807835 
    0.815483     0.802926 
    0.816272     0.808536 
    0.815707     0.805130 
    0.814693     0.804529 
    0.814787     0.805330 
    0.819985     0.813245 
    0.817993     0.809839 
    0.817793     0.805030 
    0.815589     0.803627 
    0.820032     0.804428 
    0.818465     0.795612 
    0.820339     0.802124 
    0.819349     0.802825 
    0.821777     0.786995 
    0.820127     0.800521 
    0.817416     0.800721 
    0.820068     0.801523 
    0.821788     0.803627 
    0.821895     0.802024 
    0.821081     0.798116 
    0.821671     0.804328 
    0.823144     0.806733 
    0.820657     0.802224 
    0.820221     0.798517 
    0.821152     0.796714 
    0.819172     0.803727 
    0.819054     0.797315 
    0.822307     0.805230 
    0.822696     0.795111 
    0.823026     0.794309 
    0.820598     0.799820 
    0.821176     0.798617 
    0.819219     0.803326 
    0.821812     0.793708 
    0.821883     0.799719 
    0.823851     0.800721 
    0.823627     0.800321 
    0.822637     0.802124 
    0.823651     0.796012 
    0.822708     0.799419 
    0.822460     0.796313 
    0.823156     0.800922 
    0.824417     0.797014 
    0.824228     0.796413 
    0.824240     0.796814 
    0.823333     0.798718 
    0.821623     0.797716 
    0.821989     0.790101 
    0.821753     0.800621 
    0.824440     0.793007 
    0.824829     0.796614 
    0.824382     0.801122 
    0.824252     0.794910 
    0.822708     0.790602 
    0.824782     0.793207 
    0.824146     0.782587 
    0.822401     0.796113 
    0.823014     0.791103 
    0.825065     0.791103 
    0.822602     0.789300 
    0.822755     0.796413 
    0.825442     0.787697 
    0.825431     0.788498 
    0.823674     0.795311 
    0.824193     0.798617 
    0.824146     0.788398 
    0.825890     0.792506 
    0.825513     0.791003 
    0.826715     0.795411 
    0.824334     0.795612 
    0.826421     0.791303 
    0.826692     0.793007 
    0.826456     0.790502 
    0.826185     0.793407 
    0.826692     0.794109 
    0.825914     0.791003 
    0.825902     0.796012 
    0.823780     0.796413 
    0.825089     0.796313 
    0.826739     0.789901 
    0.824417     0.790803 
    0.826208     0.789199 
    0.826043     0.794510 
    0.827422     0.791504 
    0.824547     0.793608 
    0.826527     0.788799 
    0.824841     0.770464 
    0.825053     0.787396 
    0.823415     0.787797 
    0.824983     0.785192 
    0.824653     0.785192 
    0.824818     0.777177 
    0.821788     0.791604 
    0.823179     0.795612 
    0.823745     0.795411 
    0.821836     0.781585 
    0.825183     0.784290 
    0.824370     0.785893 
    0.821930     0.784190 
    0.823981     0.786995 
    0.822826     0.782387 
    0.823167     0.787697 
    0.825666     0.789099 
    0.823969     0.786194 
    0.824794     0.785693 
    0.823556     0.783489 
    0.821706     0.781685 
    0.821376     0.781284 
    0.822449     0.788097 
    0.823109     0.785292 
    0.823439     0.781685 
    0.825819     0.789400 
    0.824063     0.786194 
    0.824417     0.785392 
    0.823910     0.786394 
