# Train        Test        
    0.282522     0.412884 
    0.433306     0.514578 
    0.516931     0.553752 
    0.556298     0.593728 
    0.567401     0.602344 
    0.575911     0.585312 
    0.600203     0.554954 
    0.610575     0.633704 
    0.615419     0.639715 
    0.620122     0.635407 
    0.626581     0.627893 
    0.628655     0.640717 
    0.630565     0.640417 
    0.628125     0.655445 
    0.631814     0.628394 
    0.632439     0.653742 
    0.643942     0.661958 
    0.653124     0.671977 
    0.651403     0.631800 
    0.651450     0.655245 
    0.657556     0.614568 
    0.657414     0.669873 
    0.663638     0.649634 
    0.665335     0.665965 
    0.664958     0.679090 
    0.663956     0.626090 
    0.660773     0.671376 
    0.667928     0.685703 
    0.666902     0.654744 
    0.663791     0.676986 
    0.670874     0.669873 
    0.677451     0.672678 
    0.673727     0.672277 
    0.680575     0.663861 
    0.680327     0.678690 
    0.680716     0.673680 
    0.680198     0.665665 
    0.684511     0.664763 
    0.689933     0.677086 
    0.686362     0.676485 
    0.689639     0.679591 
    0.691937     0.666166 
    0.696404     0.687306 
    0.692008     0.678890 
    0.700800     0.692215 
    0.699268     0.685903 
    0.701295     0.672378 
    0.699645     0.665565 
    0.694035     0.681795 
    0.697335     0.693618 
    0.724892     0.708947 
    0.727827     0.707344 
    0.731304     0.708145 
    0.732541     0.714057 
    0.734510     0.710049 
    0.733826     0.706041 
    0.735983     0.704539 
    0.735323     0.711151 
    0.737810     0.711752 
    0.738706     0.712654 
    0.739130     0.714558 
    0.738010     0.706843 
    0.741134     0.703437 
    0.741629     0.710650 
    0.740910     0.702635 
    0.740886     0.708847 
    0.741063     0.712253 
    0.742312     0.715860 
    0.742418     0.717163 
    0.743809     0.712454 
    0.744281     0.713957 
    0.746461     0.708646 
    0.745188     0.711352 
    0.744622     0.715159 
    0.746720     0.711752 
    0.746143     0.707344 
    0.745153     0.711151 
    0.748135     0.710750 
    0.747204     0.708747 
    0.747086     0.717363 
    0.746178     0.710851 
    0.748583     0.701833 
    0.747722     0.711051 
    0.748783     0.710149 
    0.748642     0.710750 
    0.749278     0.704839 
    0.748394     0.704038 
    0.749537     0.708947 
    0.750091     0.700832 
    0.748795     0.706142 
    0.748488     0.711652 
    0.750575     0.705941 
    0.749160     0.701733 
    0.749042     0.707645 
    0.750009     0.712854 
    0.750256     0.711251 
    0.750681     0.703637 
    0.749738     0.709348 
    0.748583     0.707544 
    0.749950     0.709147 
    0.760251     0.712754 
    0.760145     0.713556 
    0.760982     0.713255 
    0.761454     0.715660 
    0.761123     0.712554 
    0.760805     0.712053 
    0.761017     0.710350 
    0.760958     0.710249 
    0.761418     0.708646 
    0.760935     0.707544 
    0.762090     0.712955 
    0.761619     0.711853 
    0.760782     0.709548 
    0.761171     0.707244 
    0.761831     0.713456 
    0.760310     0.708847 
    0.760723     0.709749 
    0.760275     0.708747 
    0.760876     0.708045 
    0.759803     0.708947 
    0.761265     0.707444 
    0.759898     0.707043 
    0.760192     0.708847 
    0.759308     0.706643 
    0.759462     0.710450 
    0.759285     0.709448 
    0.758648     0.704839 
    0.758212     0.703837 
    0.757151     0.705941 
    0.754877     0.703637 
    0.752248     0.702334 
    0.751423     0.704939 
    0.754040     0.705140 
    0.753415     0.704238 
    0.753168     0.705140 
    0.753663     0.705741 
    0.754582     0.701132 
    0.754158     0.701333 
    0.754936     0.705340 
    0.756244     0.702134 
    0.756374     0.707544 
    0.756786     0.703236 
    0.756055     0.704839 
    0.757057     0.706743 
    0.756833     0.703537 
    0.756904     0.704839 
    0.758342     0.705941 
    0.757694     0.706342 
    0.758047     0.708847 
    0.757976     0.708346 
