# Train        Test        
    1.513336    10.992103 
    1.325728     9.891133 
    1.195223     9.120032 
    1.128705     9.053745 
    1.104694     8.426561 
    1.076422     8.333762 
    1.037320     8.746885 
    1.008341     7.836384 
    0.999465     7.710811 
    0.989214     7.674760 
    0.976192     7.824017 
    0.983825     7.695812 
    0.977416     7.931477 
    0.971327     7.548204 
    0.963885     7.792211 
    0.962133     7.457945 
    0.941682     7.330688 
    0.920958     7.432752 
    0.929425     7.859955 
    0.929615     7.455375 
    0.920067     7.856318 
    0.922531     7.567520 
    0.900069     7.382385 
    0.893699     7.083713 
    0.896744     7.478396 
    0.900536     7.920496 
    0.900918     7.311654 
    0.887243     6.935271 
    0.884510     7.282864 
    0.890762     6.886068 
    0.877024     6.982360 
    0.862893     6.977168 
    0.868954     7.195367 
    0.857597     7.143872 
    0.857273     6.918969 
    0.856837     6.965451 
    0.855004     6.989483 
    0.850068     6.839517 
    0.832586     6.868696 
    0.837553     7.168169 
    0.828679     6.807583 
    0.820838     6.988632 
    0.818921     6.679226 
    0.826545     6.820386 
    0.805494     6.566743 
    0.808997     6.680288 
    0.807089     6.869138 
    0.813710     6.844320 
    0.824681     6.771057 
    0.814199     6.632020 
    0.754156     6.392668 
    0.748353     6.358785 
    0.741768     6.414091 
    0.735199     6.199540 
    0.729693     6.279394 
    0.729543     6.236492 
    0.730516     6.315607 
    0.729268     6.176416 
    0.725689     6.231514 
    0.727655     6.239930 
    0.726894     6.247807 
    0.729701     6.260655 
    0.725050     6.297368 
    0.721659     6.261843 
    0.722667     6.403801 
    0.722436     6.433519 
    0.721064     6.237613 
    0.720091     6.133371 
    0.721392     6.202831 
    0.718073     6.346677 
    0.719952     6.414456 
    0.717774     6.334620 
    0.716174     6.290786 
    0.714398     6.379748 
    0.711731     6.516927 
    0.712105     6.372921 
    0.713566     6.274913 
    0.708073     6.265865 
    0.709169     6.291202 
    0.710217     6.337007 
    0.707342     6.299629 
    0.707710     6.376284 
    0.709273     6.245301 
    0.710546     6.516527 
    0.710679     6.408861 
    0.708690     6.298976 
    0.710416     6.495100 
    0.708133     6.337497 
    0.707182     6.476944 
    0.710391     6.602443 
    0.710636     6.288848 
    0.708367     6.539023 
    0.707618     6.471200 
    0.708515     6.513596 
    0.705425     6.351871 
    0.702383     6.340318 
    0.706786     6.297638 
    0.707825     6.349504 
    0.707939     6.432801 
    0.706643     6.391238 
    0.680343     6.222741 
    0.680501     6.274768 
    0.681984     6.236201 
    0.683323     6.413548 
    0.685217     6.298963 
    0.684415     6.341257 
    0.685261     6.267515 
    0.685516     6.368079 
    0.684053     6.750109 
    0.683526     6.454664 
    0.683237     6.266166 
    0.682483     6.298663 
    0.683966     6.355266 
    0.684276     6.755409 
    0.684082     6.376969 
    0.683923     6.763931 
    0.684573     6.383850 
    0.685192     6.302715 
    0.684040     6.332880 
    0.685296     6.443647 
    0.685042     6.360140 
    0.686409     6.307467 
    0.684734     6.369623 
    0.686531     6.331112 
    0.687968     6.395045 
    0.688172     6.345934 
    0.689823     6.401203 
    0.688845     6.363749 
    0.692631     6.423042 
    0.695853     6.505228 
    0.703146     6.506539 
    0.704696     6.702452 
    0.701418     6.404600 
    0.702507     6.509654 
    0.701561     6.466804 
    0.701143     6.483558 
    0.701238     6.702040 
    0.699369     6.451627 
    0.697387     6.405495 
    0.695417     6.516125 
    0.694571     6.398780 
    0.694179     6.393743 
    0.693849     6.676663 
    0.693291     6.395443 
    0.693935     6.443350 
    0.690300     6.372327 
    0.689408     6.418171 
    0.690759     6.482175 
    0.689846     6.399589 
    0.684141     6.456202 
