# Train        Test        
    0.324941     0.523294 
    0.566764     0.638814 
    0.646547     0.679391 
    0.687517     0.709348 
    0.712610     0.729586 
    0.727355     0.743813 
    0.735500     0.750526 
    0.745648     0.750025 
    0.749773     0.746919 
    0.755961     0.770163 
    0.761218     0.765955 
    0.764117     0.770464 
    0.768655     0.768761 
    0.773228     0.779982 
    0.777554     0.775674 
    0.778072     0.789300 
    0.783671     0.782587 
    0.784107     0.788398 
    0.786606     0.799419 
    0.788716     0.789099 
    0.787726     0.789099 
    0.791474     0.791203 
    0.792228     0.803326 
    0.793407     0.785893 
    0.795988     0.800721 
    0.795292     0.807033 
    0.796671     0.795712 
    0.795057     0.801823 
    0.797108     0.802124 
    0.799088     0.804629 
    0.797579     0.795411 
    0.797768     0.801423 
    0.799123     0.807434 
    0.800078     0.804829 
    0.802152     0.804729 
    0.800302     0.797816 
    0.799595     0.787396 
    0.801704     0.801122 
    0.803684     0.802825 
    0.804745     0.807434 
    0.800596     0.805130 
    0.805346     0.807835 
    0.804238     0.798317 
    0.805228     0.812844 
    0.804203     0.795712 
    0.805712     0.777377 
    0.805653     0.803527 
    0.806077     0.800621 
    0.806384     0.805430 
    0.806054     0.804929 
    0.806773     0.798116 
    0.807562     0.797916 
    0.805771     0.803226 
    0.806501     0.809338 
    0.805606     0.798617 
    0.806843     0.806933 
    0.805570     0.799419 
    0.807409     0.798818 
    0.807586     0.802324 
    0.806985     0.805030 
    0.807928     0.799619 
    0.807633     0.786194 
    0.809495     0.800120 
    0.806831     0.805831 
    0.807220     0.789801 
    0.808588     0.789700 
    0.808670     0.801323 
    0.807126     0.802024 
    0.809071     0.804729 
    0.809766     0.796914 
    0.807739     0.796513 
    0.809495     0.796513 
    0.808364     0.799118 
    0.808482     0.787797 
    0.809825     0.794610 
    0.808128     0.792005 
    0.808729     0.792005 
    0.809766     0.798016 
    0.806454     0.787697 
    0.809424     0.797115 
    0.811169     0.796213 
    0.809672     0.793708 
    0.810968     0.797916 
    0.810638     0.798417 
    0.811051     0.796113 
    0.810073     0.794910 
    0.809990     0.804228 
    0.809542     0.800421 
    0.809578     0.794309 
    0.808788     0.797315 
    0.807256     0.794109 
    0.808599     0.792806 
    0.805287     0.793007 
    0.805429     0.792907 
    0.804227     0.787196 
    0.803732     0.789099 
    0.807150     0.794910 
    0.808081     0.792706 
    0.807904     0.787596 
    0.808493     0.793808 
    0.808305     0.791604 
    0.808847     0.786795 
    0.809259     0.796513 
    0.806761     0.789500 
