# Train        Test        
    1.705737    10.999411 
    1.283758     9.129383 
    1.083017     7.919181 
    0.967721     7.559735 
    0.909844     7.030973 
    0.866372     6.567301 
    0.827223     6.213791 
    0.808984     6.310215 
    0.786913     6.283773 
    0.762333     6.248833 
    0.761732     6.389383 
    0.764223     5.928066 
    0.740792     5.790585 
    0.734016     5.838314 
    0.735406     6.375097 
    0.711697     5.839894 
    0.692226     6.010201 
    0.693265     5.458917 
    0.680198     5.372713 
    0.677635     5.837649 
    0.663051     5.440700 
    0.660700     5.581163 
    0.664665     5.107747 
    0.658441     5.345105 
    0.651456     5.168750 
    0.664707     5.187680 
    0.656268     5.808708 
    0.649984     5.077194 
    0.669697     5.431555 
    0.656264     5.082553 
    0.667081     5.701796 
    0.671217     5.449377 
    0.661765     5.102603 
    0.659885     5.178760 
    0.643565     5.254809 
    0.637624     5.095503 
    0.652553     5.650294 
    0.640288     5.028918 
    0.656796     5.249295 
    0.635028     5.022634 
    0.642715     4.790536 
    0.622250     4.896326 
    0.634187     5.037327 
    0.624849     4.976770 
    0.643726     5.359527 
    0.644011     5.772371 
    0.626358     5.195894 
    0.636189     5.135820 
    0.626883     4.849652 
    0.636721     5.210979 
    0.639795     5.589742 
    0.611359     5.135198 
    0.624786     5.546321 
    0.637317     5.114636 
    0.642749     5.117070 
    0.632775     5.407648 
    0.643497     5.023151 
    0.624552     5.131686 
    0.626080     5.710306 
    0.629516     5.946068 
    0.629396     5.075335 
    0.623799     5.453637 
    0.615912     5.003991 
    0.623590     5.213922 
    0.628650     5.670899 
    0.631463     5.779907 
    0.632518     5.112721 
    0.629185     5.104674 
    0.620665     5.539307 
    0.627571     5.556204 
    0.633493     5.188149 
    0.628456     5.279788 
    0.639119     5.514376 
    0.638725     5.612129 
    0.617299     5.303444 
    0.634589     5.338225 
    0.638721     5.373105 
    0.636403     5.430835 
    0.640980     5.494109 
    0.643092     5.025884 
    0.611517     5.434761 
    0.627293     5.294317 
    0.632904     5.305414 
    0.636183     5.124259 
    0.635565     5.806060 
    0.617085     5.278954 
    0.630563     5.747812 
    0.637226     5.352045 
    0.635101     5.319363 
    0.647003     5.125244 
    0.642997     5.613687 
    0.645572     5.505697 
    0.654193     5.320190 
    0.643203     5.477312 
    0.655278     5.572566 
    0.673488     5.612146 
    0.640392     5.503927 
    0.613637     5.475504 
    0.616486     5.245677 
    0.621430     5.555418 
    0.617114     5.584584 
    0.627010     5.462108 
    0.631635     5.317674 
    0.618462     5.491071 
