# Train        Test        
    1.698718    11.183594 
    1.262022     9.047351 
    1.070084     8.109732 
    0.957585     7.495936 
    0.898327     6.836226 
    0.867192     6.858284 
    0.834003     7.290344 
    0.800234     5.926876 
    0.782032     5.974375 
    0.771292     6.163454 
    0.773701     6.282768 
    0.748390     5.744917 
    0.721962     5.598734 
    0.715670     5.917116 
    0.717205     5.495043 
    0.679882     5.806605 
    0.705326     5.378945 
    0.681225     6.051350 
    0.680282     5.566175 
    0.652751     5.208478 
    0.674180     5.769581 
    0.652574     5.259843 
    0.669103     5.256030 
    0.669776     6.263421 
    0.647738     5.239920 
    0.639612     5.290034 
    0.617594     5.345183 
    0.635778     5.227614 
    0.640659     6.081484 
    0.635895     5.222472 
    0.629684     5.426641 
    0.641920     6.941808 
    0.607066     4.945995 
    0.599799     5.664049 
    0.606674     5.005824 
    0.626989     5.927526 
    0.642691     5.108419 
    0.640148     5.165993 
    0.632429     5.179583 
    0.612485     6.715391 
    0.588342     5.117287 
    0.602643     5.411247 
    0.638553     5.391056 
    0.648839     5.180743 
    0.618986     5.122478 
    0.601261     5.036698 
    0.606244     5.206139 
    0.594220     5.045361 
    0.590489     5.233732 
    0.615726     5.490353 
    0.634205     5.251804 
    0.626739     5.011801 
    0.592525     5.086159 
    0.599976     5.916167 
    0.607462     5.374653 
    0.607833     4.814203 
    0.601192     5.060321 
    0.608520     5.257454 
    0.619129     5.585693 
    0.609938     5.173075 
    0.623790     6.079436 
    0.632961     5.346822 
    0.598701     5.063876 
    0.587804     5.071147 
    0.594786     5.346486 
    0.615757     5.611947 
    0.624351     5.173552 
    0.619836     5.114337 
    0.625999     5.643834 
    0.613004     5.343096 
    0.587568     5.196407 
    0.592230     5.625208 
    0.600132     4.970742 
    0.600450     5.336587 
    0.598668     5.666655 
    0.597550     5.595726 
    0.605781     6.108349 
    0.615691     5.454439 
    0.593773     4.951723 
    0.588986     5.435117 
    0.601614     5.295289 
    0.607784     6.102356 
    0.617950     5.389457 
    0.596950     5.840026 
    0.590864     5.096381 
    0.590547     5.186009 
    0.595661     4.993470 
    0.585166     5.119554 
    0.592597     5.169824 
    0.586965     5.236792 
    0.587699     5.474735 
    0.596756     5.025315 
    0.586600     5.373066 
    0.590200     5.372339 
    0.607426     5.383959 
    0.586321     5.277892 
    0.586470     5.383847 
    0.588051     5.280536 
    0.605837     5.770107 
    0.602477     5.281349 
    0.583577     5.595812 
    0.585063     5.233496 
    0.593255     5.549431 
    0.593457     6.307948 
    0.594196     5.423723 
    0.576861     5.355922 
    0.577591     5.122554 
    0.577090     5.621402 
    0.571585     5.172908 
    0.575427     5.292346 
    0.598899     4.939337 
    0.581372     5.205343 
    0.591432     5.068822 
    0.581049     5.391320 
    0.587147     5.411494 
    0.586123     5.122902 
    0.582604     5.304526 
    0.587642     5.097024 
    0.586821     5.416053 
    0.589490     5.275243 
    0.582791     5.648366 
    0.584066     5.731116 
    0.585171     5.686791 
    0.586036     5.303035 
    0.595903     6.784684 
    0.593943     5.376089 
    0.594669     5.447284 
    0.597100     5.302520 
    0.583555     5.237414 
    0.593068     5.263174 
    0.600472     6.084898 
    0.584883     5.610850 
    0.594975     5.663166 
    0.604471     5.470468 
    0.606633     5.611069 
    0.617288     5.575711 
    0.622096     5.304653 
    0.571096     5.401119 
    0.573369     5.148897 
    0.584959     6.185697 
    0.592265     5.283075 
    0.595048     5.379137 
    0.586026     5.241500 
    0.595059     5.374665 
    0.598019     5.366306 
    0.594824     5.498680 
    0.589584     5.308879 
    0.591824     5.283316 
    0.593883     5.299346 
    0.592132     5.318217 
