# Train        Test        
    0.118353     0.033658 
    0.018993     0.032577 
    0.017989     0.034656 
    0.017799     0.032721 
    0.017561     0.032855 
    0.017482     0.040204 
    0.017601     0.034625 
    0.017405     0.034442 
    0.017353     0.032948 
    0.017315     0.033652 
    0.017205     0.034446 
    0.017109     0.033571 
    0.017144     0.036583 
    0.017356     0.033114 
    0.017292     0.040184 
    0.017206     0.034786 
    0.017210     0.034994 
    0.017224     0.033778 
    0.017299     0.033326 
    0.017282     0.034925 
    0.017311     0.036565 
    0.017247     0.033150 
    0.017213     0.033768 
    0.017194     0.035032 
    0.017281     0.034928 
    0.017347     0.033024 
    0.017447     0.033056 
    0.017528     0.033419 
    0.017577     0.035493 
    0.017598     0.035150 
    0.017404     0.033771 
    0.017663     0.037233 
    0.017427     0.033634 
    0.017262     0.031602 
    0.017327     0.033429 
    0.017413     0.033749 
    0.017333     0.032927 
    0.017741     0.036841 
    0.017882     0.036169 
    0.017860     0.033915 
    0.017866     0.034993 
    0.018082     0.037522 
    0.018067     0.032340 
    0.017997     0.031382 
    0.018000     0.032231 
    0.017991     0.034546 
    0.018150     0.034243 
    0.018223     0.035597 
    0.018304     0.032792 
    0.018433     0.033955 
